what,kind,bundleId,bundleVersion,description,time
started,bundle,org.python.pydev.core,2.5.0.2012040618,"org.python.pydev.core",1341270754562
started,bundle,org.python.pydev.debug,2.5.0.2012040618,"org.python.pydev.debug",1341270754562
os,sysinfo,,,"win32",1341270754565
arch,sysinfo,,,"x86_64",1341270754565
ws,sysinfo,,,"win32",1341270754565
locale,sysinfo,,,"en_US",1341270754565
processors,sysinfo,,,"6",1341270754565
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1341270754565
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1341270754565
java.specification.name,sysinfo,,,"Java Platform API Specification",1341270754565
java.specification.vendor,sysinfo,,,"Oracle Corporation",1341270754565
java.specification.version,sysinfo,,,"1.7",1341270754565
java.vendor,sysinfo,,,"Oracle Corporation",1341270754565
java.version,sysinfo,,,"1.7.0_01",1341270754565
java.vm.info,sysinfo,,,"mixed mode",1341270754565
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1341270754565
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1341270754565
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1341270754565
java.vm.specification.version,sysinfo,,,"1.7",1341270754565
java.vm.vendor,sysinfo,,,"Oracle Corporation",1341270754565
java.vm.version,sysinfo,,,"21.1-b02",1341270754565
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1341270756537
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1341270760457
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1341270787499
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341270794094
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1341270826950
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341270844989
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341270851514
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341270851588
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1341270860698
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341270863995
